actor_1,actor_2,movie_title,year,genre,director,page_id
יהודה גבאי,איתן פריבר,הם היו עשרה,1960,,ברוך דינר,631050
יהודה גבאי,ישראל רובינצ'יק,הם היו עשרה,1960,,ברוך דינר,631050
יהודה גבאי,נינט דינר,הם היו עשרה,1960,,ברוך דינר,631050
ניסים עזיקרי,איתן פריבר,הם היו עשרה,1960,,ברוך דינר,631050
ניסים עזיקרי,ישראל רובינצ'יק,הם היו עשרה,1960,,ברוך דינר,631050
ניסים עזיקרי,נינט דינר,הם היו עשרה,1960,,ברוך דינר,631050
איתן פריבר,ישראל רובינצ'יק,הם היו עשרה,1960,,ברוך דינר,631050
איתן פריבר,נינט דינר,הם היו עשרה,1960,,ברוך דינר,631050
ישראל רובינצ'יק,נינט דינר,הם היו עשרה,1960,,ברוך דינר,631050
דליה לביא,אורי זוהר,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
דליה לביא,עודד תאומי,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
דליה לביא,עודד קוטלר,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
דליה לביא,גרט הופמן,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
דליה לביא,אנ',חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
דליה לביא,נתן כוגן,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
דליה לביא,גילה אלמגור,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
דליה לביא,אסתר עופרים,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
אורי זוהר,עודד תאומי,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
אורי זוהר,עודד קוטלר,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
אורי זוהר,גרט הופמן,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
אורי זוהר,אנ',חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
אורי זוהר,נתן כוגן,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
אורי זוהר,גילה אלמגור,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
אורי זוהר,אסתר עופרים,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
עודד תאומי,עודד קוטלר,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
עודד תאומי,גרט הופמן,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
עודד תאומי,אנ',חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
עודד תאומי,נתן כוגן,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
עודד תאומי,גילה אלמגור,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
עודד תאומי,אסתר עופרים,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
עודד קוטלר,גרט הופמן,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
עודד קוטלר,אנ',חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
עודד קוטלר,נתן כוגן,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
עודד קוטלר,גילה אלמגור,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
עודד קוטלר,אסתר עופרים,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
גרט הופמן,אנ',חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
גרט הופמן,נתן כוגן,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
גרט הופמן,גילה אלמגור,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
גרט הופמן,אסתר עופרים,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
אנ',נתן כוגן,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
אנ',גילה אלמגור,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
אנ',אסתר עופרים,חולות לוהטים,1960,פעולה | דרמה,רפאל נוסבאום,1486999
