Actor,Degree,Weighted Degree,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality,Degree Rank,Betweenness Rank,Closeness Rank,Eigenvector Rank,Average Rank
יעקב בודו,87,99.0,0.02757527733755943,0.006998563139269627,0.5018413652861806,0.07327776903196963,75,74,48,40,59.25
יהורם גאון,95,103.0,0.030110935023771792,0.009548360800522054,0.4866534564343531,0.06148113726094736,58,52,71,59,60.0
ניצה שאול,88,105.0,0.027892234548335976,0.005062557040144386,0.5138757105227709,0.09120969856094222,72,110,34,29,61.25
מנשה נוי,99,116.0,0.031378763866877976,0.012248814714962208,0.5058383884762526,0.03422446289778903,47,38,41,121,61.75
חנה אזולאי-הספרי,90,99.0,0.028526148969889066,0.00901933288795173,0.5052757751919844,0.04469312846943749,69,58,43,81,62.75
יעל אבקסיס,88,101.0,0.027892234548335976,0.011331147138567928,0.5017014257601706,0.03991670417560869,72,42,49,93,64.0
קרן מור,97,110.0,0.030744849445324882,0.00880651290041369,0.4979508257514647,0.039051185576688456,51,62,53,98,66.0
חנה לסלאו,112,118.0,0.03549920760697306,0.00965212299812842,0.465792639262241,0.0540562663397644,32,51,114,69,66.5
זהרירה חריפאי,70,91.0,0.022187004754358162,0.005938815379926193,0.515998213043342,0.09700053327995965,127,90,30,25,68.0
אשר צרפתי,113,121.0,0.0358161648177496,0.005254567657241749,0.4737735769169705,0.07132823642156626,30,107,98,43,69.5
גברי בנאי,66,102.0,0.020919175911251982,0.006424080336285038,0.5045032062734542,0.11973596652311569,141,81,45,11,69.5
ארנון צדוק,115,129.0,0.0364500792393027,0.008409662395120875,0.4740973227524381,0.04013075624092951,28,65,97,92,70.5
ליא קניג,87,100.0,0.02757527733755943,0.006357436424386283,0.48696357883559976,0.0590668819752227,75,82,69,61,71.75
יעקב בן-סירא,85,98.0,0.02694136291600634,0.0063264705044062276,0.48512354791153495,0.06575734856127181,79,83,74,51,71.75
גאולה נוני,91,106.0,0.02884310618066561,0.003576417475994224,0.5033983127515081,0.08325814633008109,65,151,46,32,73.5
דני שטג,110,118.0,0.03486529318541997,0.01057870993982144,0.4783811679350448,0.03358913947381475,35,47,88,126,74.0
יבגניה דודינה,110,117.0,0.03486529318541997,0.011301277229304161,0.4780571586988068,0.032289831738338264,35,43,89,132,74.75
דן תורן,90,96.0,0.028526148969889066,0.006166643167134111,0.48766894476601463,0.04570604687624819,69,85,65,80,74.75
אלברט כהן,87,93.0,0.02757527733755943,0.005695811376800087,0.4854360708756989,0.05913454508931353,75,92,72,60,74.75
בומבה צור,74,107.0,0.023454833597464343,0.003384886406009183,0.5213226638334508,0.12295518237539341,116,158,24,9,76.75
ולדימיר פרידמן,117,126.0,0.03708399366085578,0.016821549359146308,0.4762171869311789,0.02770878971370301,26,26,94,164,77.5
שלמה וישינסקי,101,108.0,0.03201267828843106,0.005904497768845518,0.4643314260985557,0.06360090198846506,46,91,118,57,78.0
אורי קלאוזנר,106,115.0,0.03359746434231379,0.006866851629616327,0.4793999341994839,0.03554855249819054,39,76,86,112,78.25
שייקה לוי,76,107.0,0.024088748019017434,0.0036449399244393634,0.48982115892369116,0.11145513604625439,111,145,60,16,83.0
ריימונד אמסלם,99,107.0,0.031378763866877976,0.011670313086550197,0.4810591897093432,0.02590431189758613,47,41,81,176,86.25
אושיק לוי,92,105.0,0.029160063391442156,0.0034416005490923566,0.48151151036215484,0.06630948128361291,61,156,79,50,86.5
מנשה ורשבסקי,71,97.0,0.022503961965134708,0.006568638924709388,0.47676862841222045,0.05741377100375868,120,79,91,64,88.5
צבי שיסל,80,99.0,0.025356576862123614,0.004998175640763411,0.4836093363303969,0.04648271954481925,92,112,75,78,89.25
ענת עצמון,94,101.0,0.029793977812995247,0.009204147518918071,0.46508323389151246,0.033368818042412096,59,55,116,128,89.5
ששי קשת,81,95.0,0.02567353407290016,0.0030400399742673825,0.4994743058337732,0.06833719803014594,88,173,52,47,90.0
סלים דאו,93,99.0,0.0294770206022187,0.010868244111005683,0.4561633009229235,0.033830739225911566,60,46,135,122,90.75
דביר בנדק,103,111.0,0.03264659270998416,0.014262116992800798,0.4635658485801881,0.027139614282503163,44,30,122,170,91.5
יעקב בנאי,84,93.0,0.026624405705229795,0.0022485423263999124,0.505998306277797,0.07947770922837484,81,218,39,36,93.5
עזרא כפרי,79,92.0,0.02503961965134707,0.0054024690201383,0.48304577502941903,0.03756487660585211,95,102,77,103,94.25
ישראל פוליאקוב,79,108.0,0.02503961965134707,0.0023858342037942756,0.48710737148243627,0.10130327816717824,95,209,67,21,98.0
מכרם ח'ורי,92,99.0,0.029160063391442156,0.01016880555801512,0.46217526926516284,0.027977131232463627,61,48,124,162,98.75
דאנה איבגי,115,120.0,0.0364500792393027,0.01287939788464738,0.45281649099268095,0.024862423156544022,28,35,148,186,99.25
אריק איינשטיין,57,81.0,0.018066561014263075,0.0055234226908381185,0.49330411556243314,0.056005038879484555,180,97,57,66,100.0
אברהם רונאי,83,101.0,0.02630744849445325,0.0025600716559839587,0.4790686152536235,0.08069386299913235,84,197,87,35,100.75
לירון לבו,87,96.0,0.02757527733755943,0.017766890371227133,0.48119678825148626,0.020748754696349767,75,24,80,228,101.75
אייל גפן,79,87.0,0.02503961965134707,0.004558324011637202,0.4704671064408582,0.04195435188264658,95,118,108,87,102.0
דב נבון,96,101.0,0.030427892234548337,0.009984847846902893,0.46397852312217397,0.02332919615233985,56,49,120,200,106.25
אתי גרוטס,60,80.0,0.01901743264659271,0.0027550537245750024,0.5058768873843587,0.0829559190473801,169,184,40,33,106.5
גדי יגיל,65,76.0,0.020602218700475437,0.0029840898642983257,0.4831412727473356,0.07363044713721822,146,176,76,39,109.25
מאיר סוויסה,96,108.0,0.030427892234548337,0.009357947835784211,0.438071733869515,0.03377734265020514,56,53,205,124,109.5
יוסי פולק,98,105.0,0.031061806656101427,0.0025093502028289273,0.45599498803292626,0.0586845464759647,49,199,137,62,111.75
אוולין הגואל,77,89.0,0.02440570522979398,0.009708160338628357,0.4757076791708399,0.02333555875316321,106,50,95,199,112.5
יעקב כהן,70,78.0,0.022187004754358162,0.005636044242290538,0.4766741495690129,0.0306545896489705,127,94,92,140,113.25
אושרי כהן,97,105.0,0.030744849445324882,0.006548858994178076,0.4466379949591023,0.02830335168455111,51,80,165,159,113.75
צחי הלוי,72,80.0,0.022820919175911253,0.008087493231808214,0.489799093287757,0.021510996988084875,118,67,61,217,115.75
אסי לוי,82,87.0,0.025990491283676705,0.007447284791949488,0.47170643820258285,0.0231185199519429,85,72,103,206,116.5
רמי דנון,75,86.0,0.02377179080824089,0.005031194379159527,0.4682038138033014,0.032030781616245035,114,111,111,133,117.25
מיכל בת-אדם,56,67.0,0.01774960380348653,0.0027484218651690315,0.5007022166277076,0.06573272511010622,188,186,51,52,119.25
רותם זיסמן כהן,79,85.0,0.02503961965134707,0.0041818420275939,0.48045597415363134,0.02667780318744447,95,127,83,172,119.25
מיכאל מושונוב,80,90.0,0.025356576862123614,0.008807374564239866,0.47338219819112864,0.020756508833424375,92,61,100,227,120.0
פולי רשף,78,83.0,0.024722662440570524,0.005342041694643529,0.47349943251990007,0.025266495289320606,101,105,99,179,121.0
טוביה צפיר,59,70.0,0.018700475435816166,0.0024343919067188646,0.48668522412947623,0.06806594126255301,172,205,70,48,123.75
חיים זנאתי,98,103.0,0.031061806656101427,0.005070958057370967,0.4506014453040829,0.025260598298094013,49,109,157,180,123.75
אלכס פלג,65,71.0,0.020602218700475437,0.0028970035200712213,0.4937703894159001,0.034674764933608965,146,179,56,118,124.75
דבורה קידר,70,106.0,0.022187004754358162,0.0015870379415828223,0.4897166712060427,0.07051823438583778,127,264,62,46,124.75
יוסי גרבר,102,108.0,0.03232963549920761,0.0021024809825760547,0.4472950177388864,0.05675068084488731,45,226,164,65,125.0
שלומי קוריאט,81,93.0,0.02567353407290016,0.006946413889586234,0.46661552997810185,0.02077759047902854,88,75,113,226,125.5
יפתח קצור,57,99.0,0.018066561014263075,0.0022349104953301047,0.493976858582767,0.064493778549984,180,220,55,56,127.75
שושיק שני,63,69.0,0.019968304278922346,0.0024585797786762778,0.476468580291815,0.05834706652671766,157,203,93,63,129.0
רבקה בכר,57,63.0,0.018066561014263075,0.005641603519760067,0.4690030944229924,0.030649388372166984,180,93,109,141,130.75
שלמה תרשיש,75,82.0,0.02377179080824089,0.0023769387336198947,0.4705907276279936,0.0390572699350568,114,211,106,97,132.0
יגאל נאור,91,96.0,0.02884310618066561,0.004408797731569549,0.44616653140572693,0.025810838715508478,65,121,169,177,133.0
אסתי זקהיים,77,80.0,0.02440570522979398,0.004733336340800228,0.45139997709906426,0.027295498574998783,106,114,152,166,134.5
ריטה שוקרון,79,81.0,0.02503961965134707,0.0021616099044608392,0.4704941881904098,0.03515243986909906,95,223,107,116,135.25
תיקי דיין,80,83.0,0.025356576862123614,0.005543829129728807,0.4396318286522305,0.028113994458724395,92,96,197,161,136.5
רות גלר,92,94.0,0.029160063391442156,0.0045211239214344,0.43044231367133673,0.033390338339074156,61,119,241,127,137.0
יונתן צ'רצ'י,71,72.0,0.022503961965134708,0.0033472544454283895,0.45749304907405425,0.031507718487619636,120,160,133,135,137.0
ענת וקסמן,67,71.0,0.021236133122028527,0.004518597877003127,0.46445511952119645,0.026022794977645678,137,120,117,175,137.25
אלון דהן,77,79.0,0.02440570522979398,0.005082693893365582,0.4556170397855526,0.022600809904500894,106,108,138,210,140.5
רפאל קלצ'קין,78,88.0,0.024722662440570524,0.0009561028911558054,0.47998938098810773,0.07246315740570539,101,340,84,41,141.5
דרור קרן,76,80.0,0.024088748019017434,0.008045393978729668,0.4530951151100532,0.01959886744085381,111,69,145,244,142.25
רותם אבוהב,74,81.0,0.023454833597464343,0.00844562924693956,0.4635672211125427,0.0181252840635771,116,64,121,268,142.25
שמואל אדלמן,77,79.0,0.02440570522979398,0.006800783135741969,0.4538944468525797,0.019504931693579555,106,77,140,248,142.75
אייל רוזלס,107,110.0,0.03391442155309034,0.0075746417552529435,0.43143105458077186,0.020177299725401446,37,71,237,234,144.75
רבקה גור,78,79.0,0.024722662440570524,0.0029272601335126242,0.444232293193798,0.03307604355604775,101,178,176,130,146.25
ניר לוי,64,67.0,0.02028526148969889,0.0060300150542607536,0.4538345394766263,0.022170434612424267,152,88,141,213,148.5
מיכאל אלוני,76,81.0,0.024088748019017434,0.008896944777393216,0.4464656591120024,0.018675239449132883,111,59,168,259,149.25
יוסי וירז'נסקי,71,76.0,0.022503961965134708,0.003908267322660527,0.4404099249996106,0.028937165795740998,120,134,193,154,150.25
דינה דורון,78,81.0,0.024722662440570524,0.0019227326563493177,0.4504361743190026,0.036419412735345734,101,237,159,108,151.25
איילת זורר,66,72.0,0.020919175911251982,0.0023914768454757367,0.47124520311648577,0.028701742800481645,141,208,104,155,152.0
יורם חטב,66,72.0,0.020919175911251982,0.0033581058956847687,0.47115302650853746,0.023106600994408692,141,159,105,207,153.0
עירית שלג,68,69.0,0.021553090332805072,0.00299954091663897,0.45079149685531106,0.02937023101360451,134,175,156,148,153.25
אופליה שטראל,52,56.0,0.01648177496038035,0.0030207827241830318,0.4561362195821971,0.04126280616014573,214,174,136,89,153.25
עדנה פלידל,53,57.0,0.016798732171156894,0.0027316988718255083,0.4567412209003026,0.03956902868460081,207,187,134,95,155.75
שאול מזרחי,57,60.0,0.018066561014263075,0.005616346564576997,0.4651216435518384,0.02010736322971466,180,95,115,236,156.5
שרגא פרידמן,59,79.0,0.018700475435816166,0.0009016143502888288,0.4851589246886074,0.08200832672598944,172,350,73,34,157.25
יהונתן סגל,39,75.0,0.012361331220285262,0.003298347730924099,0.4871299025377324,0.04399658503790066,324,161,66,82,158.25
מוחמד בכרי,71,76.0,0.022503961965134708,0.00264466328613208,0.450549232267448,0.028287781686752774,120,195,158,160,158.25
רוברטו פולק,65,69.0,0.020602218700475437,0.004694529750945278,0.44742974576989425,0.02088952189773433,146,115,163,223,161.75
רוזינה קמבוס,81,84.0,0.02567353407290016,0.0036664202186788885,0.438270225893698,0.02216295311025575,88,143,204,214,162.25
אקי אבני,77,79.0,0.02440570522979398,0.0053387045325267515,0.44430625072413216,0.01842951365229984,106,106,174,263,162.25
מיכל ינאי,66,70.0,0.020919175911251982,0.006090640547434722,0.44155274649694815,0.019695706946042533,141,86,186,242,163.75
שמואל שילה,90,96.0,0.028526148969889066,0.003271083629157589,0.42648136863627,0.026095912264901402,69,164,256,174,165.75
נתן כוגן,64,67.0,0.02028526148969889,0.0022763975812884287,0.4425613897114132,0.03487542746111371,152,215,182,117,166.5
רובי פורת-שובל,58,61.0,0.01838351822503962,0.0021487732298934433,0.4595642689713083,0.029143094296309797,177,224,128,152,170.25
משה טימור,47,55.0,0.014896988906497623,0.0017665467476070537,0.4722567514037321,0.04062752806217505,248,249,101,91,172.25
טליה שפירא,47,62.0,0.014896988906497623,0.000948580549656661,0.48921928968393535,0.07229419935915682,248,342,63,42,173.75
עזרא דגן,58,60.0,0.01838351822503962,0.004239902627180232,0.4365517214632846,0.02482669110043736,177,125,211,187,175.0
יובל סגל,78,81.0,0.024722662440570524,0.005485587645296549,0.44900143877003523,0.014038045433107434,101,98,161,344,176.0
שמואל קלדרון,62,67.0,0.0196513470681458,0.003866135111129494,0.45253280298587534,0.017948711060415158,162,136,149,270,179.25
יאיר רובין,68,70.0,0.021553090332805072,0.0018636038145006019,0.4375677290870104,0.03076631506481014,134,239,208,138,179.75
שמואל אומני,57,58.0,0.018066561014263075,0.002093508527264783,0.438400880727134,0.03587493367731401,180,227,203,110,180.0
ציון ברוך,79,87.0,0.02503961965134707,0.006701208064966291,0.42559036779369225,0.016443270297476047,95,78,260,298,182.75
אורלי זילברשץ,71,75.0,0.022503961965134708,0.005473721213255258,0.4331533107334805,0.01714711898092809,120,99,229,284,183.0
תומר שרון,57,62.0,0.018066561014263075,0.002715139451913196,0.46097426170455663,0.02005459155367318,180,190,125,237,183.0
אוהד קנולר,88,90.0,0.027892234548335976,0.004204708616034194,0.4273629907670448,0.017208298841206112,72,126,253,281,183.0
תקווה עזיז,64,71.0,0.02028526148969889,0.0005386656747431941,0.4776305342829793,0.05546333721419739,152,423,90,68,183.25
אריק לביא,55,68.0,0.017432646592709985,0.0006937870868205596,0.4686628214557817,0.06559985392214426,196,381,110,54,185.25
מרים גבריאלי,67,69.0,0.021236133122028527,0.001911390870881248,0.4282780199876532,0.03362498529917426,137,238,249,125,187.25
נתן וולפוביץ',50,52.0,0.01584786053882726,0.0038024449919992626,0.41797970870829815,0.036659107849092244,226,138,287,106,189.25
שמואל רודנסקי,59,62.0,0.018700475435816166,0.0010891667494229062,0.4422892635573836,0.04327950469522528,172,318,183,84,189.25
חני נחמיאס,46,49.0,0.014580031695721078,0.003166552473826598,0.4466011901289603,0.027200259163212337,256,167,166,168,189.25
טל פרידמן,64,65.0,0.02028526148969889,0.0042696431942519045,0.4352669084798143,0.01777050971464937,152,124,216,273,191.25
אפרת לביא,57,60.0,0.018066561014263075,0.0012665244504529705,0.4401201188763446,0.03985770745997754,180,298,194,94,191.5
יפתח קליין,63,66.0,0.019968304278922346,0.003711775143970121,0.43990250633285516,0.01736353559804814,157,140,195,278,192.5
שרון רג'יניאנו,56,58.0,0.01774960380348653,0.0020454310680662917,0.4412678465663424,0.027276113233864942,188,228,188,167,192.75
ישי גולן,71,75.0,0.022503961965134708,0.0046369765581973366,0.42362813613113715,0.01748539473875755,120,116,266,276,194.5
אלי כהן,53,59.0,0.016798732171156894,0.0012119542733620976,0.452934707125785,0.03310543798938747,207,301,147,129,196.0
גדעון שמר,69,73.0,0.021870047543581617,0.001777606733582853,0.42896511105288243,0.02831186900353761,131,248,247,158,196.0
נתן דטנר,61,62.0,0.019334389857369256,0.0016711234989490926,0.44360104386945315,0.024882773460664503,165,259,179,184,196.75
אבי חדש,38,54.0,0.012044374009508717,0.00229492757331216,0.4633584151651311,0.03171743792501676,332,212,123,134,200.25
איצ'ו אביטל,56,60.0,0.01774960380348653,0.00275257100227017,0.4343826162871669,0.02291712202161708,188,185,223,209,201.25
שרית וינו אלעד,52,53.0,0.01648177496038035,0.002892627424395326,0.44326647147804393,0.02044138426588676,214,181,180,231,201.5
אבי קושניר,56,57.0,0.01774960380348653,0.003566630095356187,0.4370034803518069,0.01884960321741155,188,154,209,256,201.75
מירי פביאן,55,57.0,0.017432646592709985,0.0027216294836668186,0.4356374237133209,0.022497372951674408,196,188,214,211,202.25
דובי גל,56,59.0,0.01774960380348653,0.001318704049977466,0.43910137773583696,0.030729598200335433,188,291,199,139,204.25
אריה צ'רנר,82,83.0,0.025990491283676705,0.003657465158109371,0.41521225416137375,0.017088219719576553,85,144,305,286,205.0
יצחק חזקיה,57,60.0,0.018066561014263075,0.0010401435814282167,0.4452045272150805,0.03059827404923728,180,327,173,142,205.5
אניה בוקשטיין,59,64.0,0.018700475435816166,0.002505534360702255,0.45239318369288484,0.01623000435207439,172,200,151,303,206.5
דליה שימקו,68,72.0,0.021553090332805072,0.0019995826873416885,0.4290150010800883,0.0214393646693627,134,229,246,218,206.75
ישראל גוריון,48,50.0,0.015213946117274169,0.0010113304686195116,0.4511852851256434,0.037411829760445395,240,332,153,104,207.25
אברהם סלקטר,60,62.0,0.01901743264659271,0.0012977864233794094,0.4323709292221791,0.03017210073211576,169,294,233,143,209.75
שמעון מימרן,84,86.0,0.026624405705229795,0.0039495110110975935,0.4136183559390012,0.01600149522979103,81,133,316,309,209.75
שלמה בר-שביט,54,57.0,0.01711568938193344,0.0016969953984361874,0.4334589443244148,0.02905434441122129,201,258,227,153,209.75
עודד קוטלר,55,57.0,0.017432646592709985,0.0031266775397464433,0.41208019543442,0.02719417932328749,196,169,330,169,216.0
ג'וליאנו מר,69,73.0,0.021870047543581617,0.0010209836078285042,0.43892731522024464,0.023160109676212674,131,330,200,204,216.25
חלי גולדנברג,65,67.0,0.020602218700475437,0.0017663071412824952,0.4123470303798392,0.0301686831255891,146,250,327,145,217.0
צופית גרנט,60,61.0,0.01901743264659271,0.0019590808584279283,0.4262756899155177,0.02175384825091156,169,232,257,216,218.5
חינה רוזובסקה,43,44.0,0.013629160063391443,0.0019991384930507367,0.4417883112003177,0.025091515589701577,281,230,185,182,219.5
רועי אסף,53,57.0,0.016798732171156894,0.0026690283533614043,0.45304130300302325,0.014181601261488534,207,193,146,342,222.0
סמדר קילצ'ינסקי,50,54.0,0.01584786053882726,0.0010908018232597507,0.4596775174631756,0.02065761873110681,226,316,126,229,224.25
מיכה סלקטר,64,66.0,0.02028526148969889,0.0029688455487305067,0.4251204808629105,0.015584393456547108,152,177,262,318,227.25
יוסי מרשק,81,85.0,0.02567353407290016,0.0046028251226350745,0.41072735869885446,0.012882533141072633,88,117,336,375,229.0
משה פולקנפליק,56,58.0,0.01774960380348653,0.003531757277946233,0.43345662426669246,0.01362989824761771,188,155,228,355,231.5
עפר שכטר,69,75.0,0.021870047543581617,0.0036094801160945016,0.42793464939836456,0.012213847280249586,131,148,250,398,231.75
אלי דנקר,53,56.0,0.016798732171156894,0.0008468247048008643,0.4442849854120942,0.02342575470324742,207,360,175,197,234.75
מני פאר,50,54.0,0.01584786053882726,0.0006560825794935845,0.43591226540536104,0.03636047462468327,226,393,213,109,235.25
זהר שטראוס,67,73.0,0.021236133122028527,0.0036924640725608795,0.4302261772267299,0.011405406312173657,137,141,242,435,238.75
טינקרבל,45,49.0,0.014263074484944533,0.0011115001042153586,0.45823582229490856,0.01925002294166489,260,312,132,252,239.0
תקוה מור,39,45.0,0.012361331220285262,0.0007213618211902783,0.44217664936322904,0.04768995178413831,324,375,184,77,240.0
מיקי לאון,61,65.0,0.019334389857369256,0.0018327525573256238,0.4214044354183546,0.017148846160919405,165,241,278,283,241.75
מוטי גלעדי,37,43.0,0.011727416798732172,0.0014065150508380563,0.44886367513421216,0.024622316586119075,344,279,162,192,244.25
חנן גולדבלט,52,56.0,0.01648177496038035,0.0006019002012284474,0.4387371887636689,0.028514319231363855,214,405,202,156,244.25
רמי הויברגר,72,72.0,0.022820919175911253,0.0017903057316945431,0.40973780455871983,0.017625856529732798,118,244,340,275,244.25
ג'טה לוקה,49,53.0,0.015530903328050714,0.0009451077403163664,0.4273827447552148,0.02936595492121948,235,343,252,149,244.75
מונה זילברשטיין,48,53.0,0.015213946117274169,0.0003387075464215447,0.4456359315075803,0.04630846165862474,240,498,171,79,247.0
שי אביבי,63,68.0,0.019968304278922346,0.0031479901923371838,0.42427464699261236,0.012195943066874106,157,168,265,399,247.25
גדליה בסר,61,64.0,0.019334389857369256,0.0010854001748066542,0.4145906803204907,0.023648451648101698,165,319,311,196,247.75
גבי שושן,67,68.0,0.021236133122028527,0.0015326404543190787,0.4088494517167784,0.01956992526475648,137,267,345,245,248.5
ציפי שביט,30,36.0,0.009508716323296355,0.0013181614590242574,0.4453014640522042,0.03763819563897775,432,292,172,101,249.25
חיים בנאי,43,45.0,0.013629160063391443,0.0005426512419863323,0.44649480166638844,0.03282080100205141,281,421,167,131,250.0
יהודה פוקס,50,53.0,0.01584786053882726,0.0003643436620149736,0.4394032982584518,0.04155822039523166,226,490,198,88,250.5
גיל פרנק,55,56.0,0.017432646592709985,0.0018037721049964756,0.42089555981284893,0.016878328974803576,196,243,280,288,251.75
יעל הדר,47,50.0,0.014896988906497623,0.0014028363338005703,0.45336900606289626,0.014433338493362539,248,281,142,338,252.25
עמוס תמם,53,54.0,0.016798732171156894,0.0032812058346948438,0.4144517896075788,0.015048075378519245,207,163,312,328,252.5
אביטל דיקר,40,44.0,0.012678288431061807,0.0013882483030684676,0.45862257771549436,0.016787024936182768,318,283,130,291,255.5
יהושע לוף,40,43.0,0.012678288431061807,0.000385622420092773,0.4672354684461585,0.03528559054214603,318,479,112,113,255.5
יוסי בנאי,41,48.0,0.012995245641838352,0.00020522980195350552,0.48871115413738925,0.049613110858252,304,579,64,76,255.75
שושנה דואר,42,43.0,0.013312202852614897,0.000512647445033759,0.44061563972942475,0.034320949991024925,292,430,192,120,258.5
יעקב זדה דניאל,70,73.0,0.022187004754358162,0.0059968762397996835,0.4056528563793594,0.010826924848065333,127,89,369,452,259.25
