actor_1,actor_2,common_neighbors,jaccard,adamic_adar,preferential_attachment,shortest_path,same_community,degree_sum,pagerank_sum,label,prediction_score,future_movie,future_year
אנסטסיה פיין,שרה פון שוורצה,0,0.0,0.0,144,3,0,25,0.0006808693877100502,1,0.3903343376145219,כביש הסרגל (סרט),2024
אדם גבאי,תום אבני,0,0.0,0.0,144,3,0,26,0.0007068525226349859,1,0.3913504448753733,תמונת הניצחון,2021
דן תורן,רמי פורטיס,0,0.0,0.0,162,3,0,27,0.0007375063944445216,1,0.3960662910487536,עצבני ומהיר: הסיפור של פאסט מיוזיק והפטיפון,2022
מורן אטיאס,שירה נאור,0,0.0,0.0,162,3,0,27,0.0007362521021703013,1,0.398906414881198,זרים מושלמים (סרט ישראלי),2021
אלישע בנאי,דן תורן,0,0.0,0.0,162,3,0,27,0.0007322049967907716,1,0.40069102278009094,עצבני ומהיר: הסיפור של פאסט מיוזיק והפטיפון,2022
הילה סורג'ון פישר,ח'ליפה נאטור,0,0.0,0.0,270,3,0,39,0.0011279484893593436,1,0.4017403745281383,הים (סרט),2025
דובי גל,חני נחמיאס,0,0.0,0.0,153,3,0,26,0.00078387552648287,1,0.401841568449044,ימים טובים: סיפורו של זאב רווח,2024
איתמר רוטשילד,נעמה פרייס,0,0.0,0.0,105,3,0,22,0.000676343395768274,1,0.40448531301191154,הפילגש,2022
דניאל סבג,יעל לבנטל,0,0.0,0.0,216,4,0,35,0.001010315095876402,1,0.405258319662231,שבע ברכות (סרט),2023
הדס ירון,מעיין תורג'מן,0,0.0,0.0,144,3,0,26,0.0007536615214264761,1,0.40612664110871133,חלב (סרט),2024
אלישע בנאי,אנה דוברוביצקי,1,0.038461538461538464,0.2302128900546512,162,2,0,27,0.0007346652902547471,1,0.40885311189934775,אחד בלב,2021
דובי גל,דן תורן,0,0.0,0.0,162,3,0,27,0.000763161481503335,1,0.410000825562786,ימים טובים: סיפורו של זאב רווח,2024
יואב לוי,ישראל אטיאס,0,0.0,0.0,205,4,0,46,0.001315980968979591,1,0.4100966714083582,לרוץ על החול,2023
דובי גל,יונה אליאן,0,0.0,0.0,234,3,0,35,0.000949469930192728,1,0.41080215929260555,ימים טובים: סיפורו של זאב רווח,2024
אדם גבאי,מילי עשת,0,0.0,0.0,80,3,0,18,0.0005983797027688148,1,0.4110612171368797,כיסופים (סרט),2024
יניב ביטון,תאמר נפאר,1,0.07142857142857142,0.3001016285004131,26,2,0,15,0.0005405586902052777,1,0.412190727222473,חומוס FULL טריילר,2022
הישאם סלימאן,יונתן ברק,0,0.0,0.0,128,3,0,24,0.0007621219155274585,1,0.41231214411783756,תמונת הניצחון,2021
ירדן בר-כוכבא,ישראל ברייט,0,0.0,0.0,144,3,0,25,0.0007233839783975513,1,0.4152317073098727,חדר משלו,2023
אלון לשם,גיא גורביץ,0,0.0,0.0,75,3,0,20,0.000677350097985434,1,0.41562056434086797,אדמה בוערת (סרט ישראלי),2022
פולי רשף,תאמר נפאר,0,0.0,0.0,114,3,0,59,0.0014656296654978187,1,0.41644146983952773,חומוס FULL טריילר,2022
קרן מור,תאמר נפאר,0,0.0,0.0,146,3,0,75,0.0019428419379615449,1,0.41725573384839393,חומוס FULL טריילר,2022
אדם גבאי,הישאם סלימאן,0,0.0,0.0,128,3,0,24,0.0007522298465348078,1,0.4175472516920194,תמונת הניצחון,2021
גל פרידמן,יואל רוזנקיאר,0,0.0,0.0,224,4,0,36,0.0010809573024053365,1,0.4180949365814644,סודה (סרט),2024
מנשה נוי,תאמר נפאר,0,0.0,0.0,190,3,0,97,0.0024693861300474915,1,0.4205445238306624,חומוס FULL טריילר,2022
אילנית בן-יעקב,ג'יטה מונטה,0,0.0,0.0,144,3,0,25,0.0007490730368978397,1,0.4215639347893292,טור פרידה,2023
ח'ליפה נאטור,מרלן בג'אלי,1,0.02631578947368421,0.204800443649844,270,2,0,39,0.0011295184159167753,1,0.421598347644635,הים (סרט),2025
הילה סעדה,זאב רווח,0,0.0,0.0,342,4,0,47,0.0012488586856987827,1,0.42172688749541426,שער הפרחים (סרט),2022
דובר קוסאשווילי,רינת מטטוב,0,0.0,0.0,198,3,0,31,0.0009012160989594714,1,0.4228483887626081,טרופיקנה (סרט),2024
יואל רוזנקיאר,ליאור רז,0,0.0,0.0,144,3,0,26,0.0008115374171818196,1,0.42421485814593485,סודה (סרט),2024
מיכאל וייגל,מילי עשת,0,0.0,0.0,90,3,0,19,0.0006348868320581206,1,0.4249524763111311,עקרה (סרט),2022
מילי עשת,רננה רז,0,0.0,0.0,90,3,0,19,0.0006348868320581206,1,0.4249524763111312,עקרה (סרט),2022
קובי פרג',קרן צור,0,0.0,0.0,243,3,0,36,0.0010323442998991733,1,0.42595869675305664,"קריוקי (סרט, 2022)",2022
ליאור דובדבני,משה פרסטר,1,0.030303030303030304,0.1985327397206032,225,2,0,34,0.0009110549343017915,1,0.42878244823928324,אוהב אותך צ'ארלי,2022
יגאל עדיקא,עודד מנסטר,0,0.0,0.0,119,8,0,120,0.0034334625762409035,1,0.4325984052191575,"תמונות יפואיות (סרט, 2024)",2025
דניאל מורשת,ישי גולן,0,0.0,0.0,495,3,0,64,0.0017432862212838707,1,0.4328010154565473,חשבונות שמיים,2025
דניאל מורשת,מיקי לאון,0,0.0,0.0,513,3,0,66,0.0017574199465800915,1,0.4334708756974589,חשבונות שמיים,2025
אילנית בן-יעקב,דובר קוסאשווילי,1,0.041666666666666664,0.22953106112437666,144,2,0,25,0.0007382580824271492,1,0.4335352058264209,טרופיקנה (סרט),2024
יהונתן וילוז'ני,מילי עשת,0,0.0,0.0,70,3,0,17,0.0006280222315547287,1,0.43563431896587074,כיסופים (סרט),2024
גבי דן,עודד מנסטר,0,0.0,0.0,15,8,0,16,0.0009084289483232626,1,0.4404800729421463,"תמונות יפואיות (סרט, 2024)",2025
אולג לוין,עודד מנסטר,0,0.0,0.0,18,8,0,19,0.0009283218348474771,1,0.44271182777561735,הארוחה,2023
אלי מנשה,דורית לב ארי,0,0.0,0.0,184,3,0,31,0.0008446500363107208,1,0.4436596520939275,לא יום ולא לילה,2024
ג'וליה מסלאווי,עודד מנסטר,0,0.0,0.0,18,8,0,19,0.0009414386477332154,1,0.4450519056703408,"תמונות יפואיות (סרט, 2024)",2025
און רפאלי,אקי אבני,0,0.0,0.0,408,3,0,74,0.0020225822258880003,1,0.4460748829622277,פול ספיד,2021
דורית לב ארי,מאיה כהן,0,0.0,0.0,207,3,0,32,0.0008556570777795518,1,0.44676333282157393,לא יום ולא לילה,2024
גל לב,קובי פרג',0,0.0,0.0,108,3,0,31,0.0009149481175328286,1,0.4502699448463938,"קריוקי (סרט, 2022)",2022
משה טימור,ששי קשת,0,0.0,0.0,238,3,0,31,0.0008520554368624577,1,0.45254184779327983,אנחנו לא ניפרד לעולם,2022
מוני מושונוב,תאמר נפאר,0,0.0,0.0,204,3,0,104,0.002908121794461153,1,0.4541617341999168,חומוס FULL טריילר,2022
זהבה בן,ניצה שאול,1,0.029411764705882353,0.22449978268220952,234,2,0,35,0.0009538601674256543,1,0.4586098855817582,ימים טובים: סיפורו של זאב רווח,2024
אילנית בן-יעקב,תום חגי,1,0.041666666666666664,0.23233849357411737,144,2,0,25,0.000753785468017747,1,0.45907245049618245,10 חודשים,2024
דובר קוסאשווילי,רבקה בכר,0,0.0,0.0,243,3,0,36,0.0009055346414031409,1,0.46144322557153084,טרופיקנה (סרט),2024
חן אמסלם,שלום אסייג,0,0.0,0.0,162,3,1,27,0.000733224888723828,1,0.4638404463014079,אמצע החיים (סרט),2024
