page_id,movie_title,year
1696245,זוג נשוי,1983
152123,נגוע,1983
2054179,נורית 2,1983
1304726,סבבה (סרט),1983
315874,קוני למל בקהיר,1983
1304728,רומן זעיר,1983
2410188,ביום בהיר רואים את דמשק,1984
2107058,גרין (סרט),1984
2049327,הדודה מארגנטינה,1984
2117900,החורף האחרון,1984
1704110,זעם ותהילה,1984
2201194,חייל הלילה,1984
103244,מאחורי הסורגים,1984
1017159,מבצע שטריימל,1984
2100291,מגש הכסף (סרט),1984
272841,מכת שמש (סרט),1984
765830,ספר נשים (סרט),1984
2066828,עדות מאונס,1984
1518147,עתליה (סרט),1984
1643077,אירית עירית,1985
1577530,בנות (סרט),1985
411324,בר 51,1985
1304735,"הרימו עוגן (סרט, 1985)",1985
839095,חסמבה ושודדי הסוסים,1985
2122068,חתונה בירושלים (סרט קצר),1985
2035880,עד סוף הלילה,1985
1655772,קומפוט נעליים,1985
759781,קוקו בן 19,1985
719597,שוברים,1985
177486,אוונטי פופולו,1986
1156804,אלכס חולה אהבה,1986
1002437,האינסטלטור,1986
883334,"הטוב, הרע והלא נורא",1986
1317095,המאהב (סרט קולנוע ישראלי),1986
390702,הקרב על הוועד,1986
1829485,השגעון הגדול (סרט),1986
1805310,חיוך הגדי,1986
2219310,כל אהבותי,1986
1651858,כפפות (סרט),1986
761566,לחם (סרט טלוויזיה),1986
1784321,מלכת הכיתה (סרט),1986
2124125,נאדיה (סרט),1986
1901197,ניפגש בסיבוב (סרט),1986
2162771,סוף שבוע מטורף,1986
118029,שתי אצבעות מצידון,1986
94609,אבא גנוב,1987
1347001,אהבה צעירה,1987
568505,בובה (סרט),1987
165734,בלוז לחופש הגדול,1987
2056294,"החולמים (סרט, 1987)",1987
1417300,"היפהפייה הנרדמת (סרט, 1987)",1987
765931,המובטל בטיטו,1987
1752686,חימו מלך ירושלים,1987
2466852,יוננם,1987
1682363,ילדי סטלין,1987
2107026,לא שם זין (סרט),1987
1755601,פוטו רומן,1987
2177359,תל אביב - ברלין,1987
498039,אל עצמי (סרט),1988
768383,בגלל המלחמה ההיא,1988
1473692,בלוז לקיץ,1988
1980343,בצילו של הלם קרב,1988
1761095,הינשוף,1988
1071367,המשורר,1988
848141,הקיץ של אביה (סרט),1988
938570,יהושע יהושע,1988
550399,לול (סרט),1988
786654,מה קרה? (סרט קצר),1988
2504984,מטולדו לירושלים,1988
208290,מלך הסלים (סרט),1988
2433519,מצלמה בלי בושה,1988
2072023,מקום ליד הים,1988
2271040,משחקים בחורף (סרט),1988
568493,נישואין פיקטיביים (סרט),1988
559086,תל אביב לוס אנג'לס,1988
94596,אבא גנוב 2,1989
1849198,אוכלים לוקשים,1989
2321882,אחד באפריל (סרט),1989
103250,אחד משלנו,1989
1715008,אלף נשותיו של נפתלי סימן טוב,1989
1669463,אש צולבת,1989
233522,ד.צ. חוף אילת,1989
1949304,האדונית והרוכל (סרט),1989
2041843,המיועד (סרט),1989
1797902,"יוסל'ה, איך זה קרה?",1989
2432964,ניפגש בספארי,1989
1350164,צמות (סרט),1989
2130223,רותי נעים,1989
2112976,רחובות האתמול (סרט),1989
2084923,"רכבת העמק (סרט, 1989)",1989
2175064,רסיסים (סרט),1989
1778011,"שדות ירוקים (סרט, 1989)",1989
766267,תלווה לי את אשתך,1989
917033,אהבתה האחרונה של לורה אדלר,1990
991983,אפטר (סרט),1990
1717674,דרך הנשר,1990
2087145,הדרך לעין חרוד (סרט),1990
1700778,המחצבה,1990
60626,"נשיקה במצ""ח",1990
193276,שורו (סרט),1990
2168253,שירים קטנים (1990),1990
995106,שמשה קדמית (סרט),1990
94599,אבא גנוב 3,1991
1924377,אישה זרה,1991
187291,גמר גביע,1991
2059684,זמן אמת (1991),1991
490844,כמו גדולים,1991
636813,להיות קצין,1991
187604,מעבר לים,1991
1084022,נפרדנו כך (סרט),1991
185153,עונת הדובדבנים,1991
