period,nodes,edges,density,average_clustering,connected_components,isolated_nodes,largest_component_size,largest_component_share,radius_lcc,diameter_lcc,average_degree,maximum_degree,films,actor_pair_records
Until 1969,217,1580,0.06741764806280935,0.7640261961740791,3,2,215,0.9907834101382489,3,5,14.56221198156682,60,57,1751
1970–1989,851,7119,0.019683417432778048,0.762318469062293,4,0,841,0.9882491186839013,3,5,16.73090481786134,147,224,7749
1990–Today,2537,19304,0.006000778385260914,0.7678784855561276,60,18,2340,0.9223492313756405,4,7,15.217973985021679,170,874,19874
